fec_company,list_id
Juniper Networks,f1000_509
Fortune Brands Home & Security,f1000_510
Brookdale Senior Living,f1000_511
Tutor Perini,f1000_512
Navient,f1000_513
Neiman Marcus Group,f1000_514
Ashland Global Holdings,f1000_515
Hanover Insurance Group,f1000_516
CommScope Holding,f1000_517
Spectra Energy,f1000_518
Cintas,f1000_519
Zoetis,f1000_520
Molson Coors Brewing,f1000_521
Regeneron Pharmaceuticals,f1000_522
Ulta Beauty,f1000_523
Hess,f1000_524
Magellan Health,f1000_525
Intuit,f1000_526
Under Armour,f1000_527
RPM International,f1000_528
Cerner,f1000_529
Sonoco Products,f1000_530
Securian Financial Group,f1000_531
Peabody Energy,f1000_532
YRC Worldwide,f1000_533
Commercial Metals,f1000_534
Marathon Oil,f1000_535
Polaris Industries,f1000_536
Envision Healthcare,f1000_537
Trinity Industries,f1000_538
Thor Industries,f1000_539
Caesars Entertainment,f1000_540
Levi Strauss,f1000_541
FMC Technologies,f1000_542
VWR,f1000_543
NiSource,f1000_544
Coach,f1000_545
Brunswick,f1000_546
Wynn Resorts,f1000_547
Orbital ATK,f1000_548
CIT Group,f1000_549
Science Applications International,f1000_550
Hyatt Hotels,f1000_551
McCormick,f1000_552
Diplomat Pharmacy,f1000_553
Barnes & Noble,f1000_554
Electronic Arts,f1000_555
FM Global,f1000_556
Coty,f1000_557
Smart & Final Stores,f1000_558
Quad/Graphics,f1000_559
Dynegy,f1000_560
Graphic Packaging Holding,f1000_561
Select Medical Holdings,f1000_562
Welltower,f1000_563
Advanced Micro Devices,f1000_564
USG,f1000_565
KBR,f1000_566
Bloomin' Brands,f1000_567
MDU Resources Group,f1000_568
CSRA,f1000_569
Laureate Education,f1000_570
SCANA,f1000_571
T. Rowe Price,f1000_572
Watsco,f1000_573
Rush Enterprises,f1000_574
Agilent Technologies,f1000_575
WhiteWave Foods,f1000_576
Valspar,f1000_577
Total System Services,f1000_578
Torchmark,f1000_579
Cabela's,f1000_580
Beacon Roofing Supply,f1000_581
CA,f1000_582
LPL Financial Holdings,f1000_583
Sprouts Farmers Market,f1000_584
Swift Transportation,f1000_585
Bemis,f1000_586
Tiffany,f1000_587
Flowserve,f1000_588
CNO Financial Group,f1000_589
Fastenal,f1000_590
Sally Beauty Holdings,f1000_591
American Axle & Manufacturing,f1000_592
Flowers Foods,f1000_593
Andersons,f1000_594
Crown Castle International,f1000_595
Boise Cascade,f1000_596
ON Semiconductor,f1000_597
Chipotle Mexican Grill,f1000_598
Amkor Technology,f1000_599
Triumph Group,f1000_600
OneMain Holdings,f1000_601
General Cable,f1000_602
Ametek,f1000_603
Alon USA Energy,f1000_604
Pioneer Natural Resources,f1000_605
Martin Marietta Materials,f1000_606
Ingles Markets,f1000_607
Roper Technologies,f1000_608
Huntington Bancshares,f1000_609
Xylem,f1000_610
Unified Grocers,f1000_611
Leggett & Platt,f1000_612
Dentsply Sirona,f1000_613
CACI International,f1000_614
Mead Johnson Nutrition,f1000_615
C.R. Bard,f1000_616
Snap-on,f1000_617
