list_id,fec_company,cid_master,iss_id,ticker,ticker_alt,cusip,found_fec,search_ticker
f1000_350,Dean Foods,Dean Foods,531464.0,DF,,865077101,True,False
f1000_351,Zimmer Biomet Holdings,Zimmer Biomet Holdings,528272.0,ZBH,,98956P102,True,False
f1000_352,PulteGroup,PulteGroup,116608.0,PHM,,69333C106,True,False
f1000_352,PulteGroup,PulteGroup,116608.0,PHM,,745867101,True,False
f1000_353,W.R. Berkley,W.R. Berkley,15460.0,WRB,,084423102,True,False
f1000_354,Quanta Services,Quanta Services,513312.0,PWR,,,True,False
f1000_354,Quanta Services,Quanta Services,513312.0,PWR,,74762E102,True,False
f1000_355,EOG Resources,EOG Resources,518324.0,EOG,,26875P101,True,False
f1000_356,Charles Schwab,Charles Schwab,137775.0,SCHW,,808513105,True,False
f1000_357,Eversource Energy,Eversource Energy,110983.0,ES,,30040W108,True,False
f1000_359,EMCOR Group,EMCOR Group,79216.0,EME,,29084Q100,True,False
f1000_36,Valero Energy,Valero Energy,159220.0,VLO,,90389XAA7,True,False
f1000_36,Valero Energy,Valero Energy,159220.0,VLO,,91913Y100,True,False
f1000_360,Assurant,Assurant,552922.0,AIZ,,04621X108,True,False
f1000_361,CenterPoint Energy,CenterPoint Energy,535696.0,CNP,,15189T107,True,False
f1000_361,CenterPoint Energy,CenterPoint Energy,535696.0,CNP,,442161AA3,True,False
f1000_364,PPL,PPL,519969.0,PPL,,69351T106,True,False
f1000_365,Quest Diagnostics,Quest Diagnostics,127332.0,DGX,,74834L100,True,False
f1000_366,Williams,Williams,167109.0,WMB,,969457100,True,False
f1000_367,WEC Energy Group,WEC Energy Group,168076.0,WEC,,92939U106,True,False
f1000_367,WEC Energy Group,WEC Energy Group,168076.0,WEC,,976657106,True,False
f1000_368,Hershey,Hershey,71089.0,HSY,,427866108,True,False
f1000_369,AGCO,AGCO,304.0,AGCO,,001084102,True,False
f1000_37,Target,Target,520620.0,TGT,,,True,False
f1000_37,Target,Target,520620.0,TGT,,239753106,True,False
f1000_37,Target,Target,520620.0,TGT,,87612E106,True,False
f1000_370,Ralph Lauren,Ralph Lauren,123490.0,RL,,731572103,True,False
f1000_370,Ralph Lauren,Ralph Lauren,123490.0,RL,,751212101,True,False
f1000_371,Masco,Masco,95484.0,MAS,,574599106,True,False
f1000_373,LifePoint Health,LifePoint Health,515404.0,LPNT,,53219L109,True,False
f1000_374,National Oilwell Varco,National Oilwell Varco,,NO8,,,True,False
f1000_375,Kindred Healthcare,Kindred Healthcare,527659.0,KND,,494580103,True,False
f1000_376,Mosaic,Mosaic,557519.0,MOS,,61945C103,True,False
f1000_377,Alliance Data Systems,Alliance Data Systems,530546.0,ADS,,018581108,True,False
f1000_378,Computer Sciences,Computer Sciences,34598.0,CSC,,205363104,True,False
f1000_379,Huntington Ingalls Industries,Huntington Ingalls Industries,604917.0,HII,,446413106,True,False
f1000_38,Freddie Mac,Freddie Mac,,FMCC,,,True,False
f1000_381,Erie Insurance Group,Erie Insurance Group,,ERIE,,,True,False
f1000_384,Darden Restaurants,Darden Restaurants,40166.0,DRI,,237194105,True,False
f1000_387,R.R. Donnelley & Sons,R.R. Donnelley & Sons,43807.0,RRD,,257867101,True,False
f1000_387,R.R. Donnelley & Sons,R.R. Donnelley & Sons,43807.0,RRD,,257867200,True,False
f1000_388,Fifth Third Bancorp,Fifth Third Bancorp,53359.0,FITB,,230626103,True,False
f1000_388,Fifth Third Bancorp,Fifth Third Bancorp,53359.0,FITB,,316773100,True,False
f1000_39,Lowe's,Lowe's,91205.0,LOW,,548661107,True,False
f1000_390,Jones Lang LaSalle,Jones Lang LaSalle,514431.0,JLL,,48020Q107,True,False
f1000_391,Dover,Dover,44105.0,DOV,,260003108,True,False
f1000_393,Ryder System,Ryder System,133478.0,R,,783549108,True,False
f1000_394,A-Mark Precious Metals,A-Mark Precious Metals,,AMRK,,,True,False
f1000_395,Tractor Supply,Tractor Supply,153683.0,TSCO,,892356106,True,False
f1000_396,Sealed Air,Sealed Air,138403.0,SEE,,812115103,True,False
f1000_396,Sealed Air,Sealed Air,138403.0,SEE,,81211K100,True,False
f1000_399,Calpine,Calpine,,CPN,,,True,False
